,comparison,doi,metric,score_earned,score_total
194,http://orkg.org/orkg/resource/R141810,10.48366/r141810,FsF-F2-01M,2,2
195,http://orkg.org/orkg/resource/R141810,10.48366/r141810,FsF-F3-01M,0,1
196,http://orkg.org/orkg/resource/R141810,10.48366/r141810,FsF-F4-01M,2,2
197,http://orkg.org/orkg/resource/R141810,10.48366/r141810,FsF-A1-01M,0,1
198,http://orkg.org/orkg/resource/R141810,10.48366/r141810,FsF-I1-01M,1,2
199,http://orkg.org/orkg/resource/R141810,10.48366/r141810,FsF-I2-01M,0,1
200,http://orkg.org/orkg/resource/R141810,10.48366/r141810,FsF-I3-01M,0,1
201,http://orkg.org/orkg/resource/R141810,10.48366/r141810,FsF-R1-01MD,1,4
202,http://orkg.org/orkg/resource/R141810,10.48366/r141810,FsF-R1.1-01M,2,2
203,http://orkg.org/orkg/resource/R141810,10.48366/r141810,FsF-R1.2-01M,1,2
204,http://orkg.org/orkg/resource/R141810,10.48366/r141810,FsF-R1.3-01M,0,1
205,http://orkg.org/orkg/resource/R141810,10.48366/r141810,FsF-R1.3-02D,0,1
206,http://orkg.org/orkg/resource/R141810,10.48366/r141810,FsF-A1-03D,0,1
207,http://orkg.org/orkg/resource/R141810,10.48366/r141810,FsF-A1-02M,1,1
208,http://orkg.org/orkg/resource/R141811,10.48366/r141811,FsF-F1-01D,1,1
209,http://orkg.org/orkg/resource/R141811,10.48366/r141811,FsF-F1-02D,1,1
210,http://orkg.org/orkg/resource/R141811,10.48366/r141811,FsF-F2-01M,2,2
211,http://orkg.org/orkg/resource/R141811,10.48366/r141811,FsF-F3-01M,0,1
212,http://orkg.org/orkg/resource/R141811,10.48366/r141811,FsF-F4-01M,2,2
213,http://orkg.org/orkg/resource/R141811,10.48366/r141811,FsF-A1-01M,0,1
214,http://orkg.org/orkg/resource/R141811,10.48366/r141811,FsF-I1-01M,1,2
215,http://orkg.org/orkg/resource/R141811,10.48366/r141811,FsF-I2-01M,0,1
216,http://orkg.org/orkg/resource/R141811,10.48366/r141811,FsF-I3-01M,0,1
217,http://orkg.org/orkg/resource/R141811,10.48366/r141811,FsF-R1-01MD,1,4
218,http://orkg.org/orkg/resource/R141811,10.48366/r141811,FsF-R1.1-01M,2,2
219,http://orkg.org/orkg/resource/R141811,10.48366/r141811,FsF-R1.2-01M,1,2
220,http://orkg.org/orkg/resource/R141811,10.48366/r141811,FsF-R1.3-01M,0,1
221,http://orkg.org/orkg/resource/R141811,10.48366/r141811,FsF-R1.3-02D,0,1
222,http://orkg.org/orkg/resource/R141811,10.48366/r141811,FsF-A1-03D,0,1
223,http://orkg.org/orkg/resource/R141811,10.48366/r141811,FsF-A1-02M,1,1
224,http://orkg.org/orkg/resource/R142850,10.48366/r142850,FsF-F1-01D,1,1
225,http://orkg.org/orkg/resource/R142850,10.48366/r142850,FsF-F1-02D,1,1
226,http://orkg.org/orkg/resource/R142850,10.48366/r142850,FsF-F2-01M,2,2
227,http://orkg.org/orkg/resource/R142850,10.48366/r142850,FsF-F3-01M,0,1
228,http://orkg.org/orkg/resource/R142850,10.48366/r142850,FsF-F4-01M,2,2
229,http://orkg.org/orkg/resource/R142850,10.48366/r142850,FsF-A1-01M,0,1
230,http://orkg.org/orkg/resource/R142850,10.48366/r142850,FsF-I1-01M,1,2
231,http://orkg.org/orkg/resource/R142850,10.48366/r142850,FsF-I2-01M,0,1
232,http://orkg.org/orkg/resource/R142850,10.48366/r142850,FsF-I3-01M,0,1
233,http://orkg.org/orkg/resource/R142850,10.48366/r142850,FsF-R1-01MD,1,4
234,http://orkg.org/orkg/resource/R142850,10.48366/r142850,FsF-R1.1-01M,2,2
235,http://orkg.org/orkg/resource/R142850,10.48366/r142850,FsF-R1.2-01M,1,2
236,http://orkg.org/orkg/resource/R142850,10.48366/r142850,FsF-R1.3-01M,0,1
237,http://orkg.org/orkg/resource/R142850,10.48366/r142850,FsF-R1.3-02D,0,1
238,http://orkg.org/orkg/resource/R142850,10.48366/r142850,FsF-A1-03D,0,1
239,http://orkg.org/orkg/resource/R142850,10.48366/r142850,FsF-A1-02M,1,1
240,http://orkg.org/orkg/resource/R143746,10.48366/r143746,FsF-F1-01D,1,1
241,http://orkg.org/orkg/resource/R143746,10.48366/r143746,FsF-F1-02D,1,1
242,http://orkg.org/orkg/resource/R143746,10.48366/r143746,FsF-F2-01M,2,2
243,http://orkg.org/orkg/resource/R143746,10.48366/r143746,FsF-F3-01M,0,1
244,http://orkg.org/orkg/resource/R143746,10.48366/r143746,FsF-F4-01M,2,2
245,http://orkg.org/orkg/resource/R143746,10.48366/r143746,FsF-A1-01M,0,1
246,http://orkg.org/orkg/resource/R143746,10.48366/r143746,FsF-I1-01M,1,2
247,http://orkg.org/orkg/resource/R143746,10.48366/r143746,FsF-I2-01M,0,1
248,http://orkg.org/orkg/resource/R143746,10.48366/r143746,FsF-I3-01M,0,1
249,http://orkg.org/orkg/resource/R143746,10.48366/r143746,FsF-R1-01MD,1,4
250,http://orkg.org/orkg/resource/R143746,10.48366/r143746,FsF-R1.1-01M,2,2
251,http://orkg.org/orkg/resource/R143746,10.48366/r143746,FsF-R1.2-01M,1,2
252,http://orkg.org/orkg/resource/R143746,10.48366/r143746,FsF-R1.3-01M,0,1
253,http://orkg.org/orkg/resource/R143746,10.48366/r143746,FsF-R1.3-02D,0,1
254,http://orkg.org/orkg/resource/R143746,10.48366/r143746,FsF-A1-03D,0,1
255,http://orkg.org/orkg/resource/R143746,10.48366/r143746,FsF-A1-02M,1,1
256,http://orkg.org/orkg/resource/R143853,10.48366/r143853,FsF-F1-01D,1,1
257,http://orkg.org/orkg/resource/R143853,10.48366/r143853,FsF-F1-02D,1,1
258,http://orkg.org/orkg/resource/R143853,10.48366/r143853,FsF-F2-01M,2,2
259,http://orkg.org/orkg/resource/R143853,10.48366/r143853,FsF-F3-01M,0,1
260,http://orkg.org/orkg/resource/R143853,10.48366/r143853,FsF-F4-01M,2,2
261,http://orkg.org/orkg/resource/R143853,10.48366/r143853,FsF-A1-01M,0,1
262,http://orkg.org/orkg/resource/R143853,10.48366/r143853,FsF-I1-01M,1,2
263,http://orkg.org/orkg/resource/R143853,10.48366/r143853,FsF-I2-01M,0,1
264,http://orkg.org/orkg/resource/R143853,10.48366/r143853,FsF-I3-01M,0,1
265,http://orkg.org/orkg/resource/R143853,10.48366/r143853,FsF-R1-01MD,1,4
266,http://orkg.org/orkg/resource/R143853,10.48366/r143853,FsF-R1.1-01M,2,2
267,http://orkg.org/orkg/resource/R143853,10.48366/r143853,FsF-R1.2-01M,1,2
268,http://orkg.org/orkg/resource/R143853,10.48366/r143853,FsF-R1.3-01M,0,1
269,http://orkg.org/orkg/resource/R143853,10.48366/r143853,FsF-R1.3-02D,0,1
270,http://orkg.org/orkg/resource/R143853,10.48366/r143853,FsF-A1-03D,0,1
271,http://orkg.org/orkg/resource/R143853,10.48366/r143853,FsF-A1-02M,1,1
272,http://orkg.org/orkg/resource/R143856,10.48366/r143856,FsF-F1-01D,1,1
273,http://orkg.org/orkg/resource/R143856,10.48366/r143856,FsF-F1-02D,1,1
274,http://orkg.org/orkg/resource/R143856,10.48366/r143856,FsF-F2-01M,2,2
275,http://orkg.org/orkg/resource/R143856,10.48366/r143856,FsF-F3-01M,0,1
276,http://orkg.org/orkg/resource/R143856,10.48366/r143856,FsF-F4-01M,2,2
277,http://orkg.org/orkg/resource/R143856,10.48366/r143856,FsF-A1-01M,0,1
278,http://orkg.org/orkg/resource/R143856,10.48366/r143856,FsF-I1-01M,1,2
279,http://orkg.org/orkg/resource/R143856,10.48366/r143856,FsF-I2-01M,0,1
280,http://orkg.org/orkg/resource/R143856,10.48366/r143856,FsF-I3-01M,0,1
281,http://orkg.org/orkg/resource/R143856,10.48366/r143856,FsF-R1-01MD,1,4
282,http://orkg.org/orkg/resource/R143856,10.48366/r143856,FsF-R1.1-01M,2,2
283,http://orkg.org/orkg/resource/R143856,10.48366/r143856,FsF-R1.2-01M,1,2
284,http://orkg.org/orkg/resource/R143856,10.48366/r143856,FsF-R1.3-01M,0,1
285,http://orkg.org/orkg/resource/R143856,10.48366/r143856,FsF-R1.3-02D,0,1
286,http://orkg.org/orkg/resource/R143856,10.48366/r143856,FsF-A1-03D,0,1
287,http://orkg.org/orkg/resource/R143856,10.48366/r143856,FsF-A1-02M,1,1
288,http://orkg.org/orkg/resource/R144148,10.48366/r144148,FsF-F1-01D,1,1
289,http://orkg.org/orkg/resource/R144148,10.48366/r144148,FsF-F1-02D,1,1
290,http://orkg.org/orkg/resource/R144148,10.48366/r144148,FsF-F2-01M,2,2
291,http://orkg.org/orkg/resource/R144148,10.48366/r144148,FsF-F3-01M,0,1
292,http://orkg.org/orkg/resource/R144148,10.48366/r144148,FsF-F4-01M,2,2
293,http://orkg.org/orkg/resource/R144148,10.48366/r144148,FsF-A1-01M,0,1
294,http://orkg.org/orkg/resource/R144148,10.48366/r144148,FsF-I1-01M,1,2
295,http://orkg.org/orkg/resource/R144148,10.48366/r144148,FsF-I2-01M,0,1
296,http://orkg.org/orkg/resource/R144148,10.48366/r144148,FsF-I3-01M,0,1
297,http://orkg.org/orkg/resource/R144148,10.48366/r144148,FsF-R1-01MD,1,4
298,http://orkg.org/orkg/resource/R144148,10.48366/r144148,FsF-R1.1-01M,2,2
299,http://orkg.org/orkg/resource/R144148,10.48366/r144148,FsF-R1.2-01M,1,2
300,http://orkg.org/orkg/resource/R144148,10.48366/r144148,FsF-R1.3-01M,0,1
301,http://orkg.org/orkg/resource/R144148,10.48366/r144148,FsF-R1.3-02D,0,1
302,http://orkg.org/orkg/resource/R144148,10.48366/r144148,FsF-A1-03D,0,1
303,http://orkg.org/orkg/resource/R144148,10.48366/r144148,FsF-A1-02M,1,1
304,http://orkg.org/orkg/resource/R144251,10.48366/r144251,FsF-F1-01D,1,1
305,http://orkg.org/orkg/resource/R144251,10.48366/r144251,FsF-F1-02D,1,1
306,http://orkg.org/orkg/resource/R144251,10.48366/r144251,FsF-F2-01M,2,2
307,http://orkg.org/orkg/resource/R144251,10.48366/r144251,FsF-F3-01M,0,1
308,http://orkg.org/orkg/resource/R144251,10.48366/r144251,FsF-F4-01M,2,2
309,http://orkg.org/orkg/resource/R144251,10.48366/r144251,FsF-A1-01M,0,1
310,http://orkg.org/orkg/resource/R144251,10.48366/r144251,FsF-I1-01M,1,2
311,http://orkg.org/orkg/resource/R144251,10.48366/r144251,FsF-I2-01M,0,1
